system,category,item,target_count,error_count,status,comment
eSpeak NG,graph_abbrev,6,2,2,error,"см. и стр. не раскрыты"
eSpeak NG,graph_abbrev,7,2,2,error,"и. о. прочитано посимвольно"
eSpeak NG,graph_abbrev,8,1,1,error,"гг. не раскрыто"
eSpeak NG,graph_abbrev,9,1,0,ok,
eSpeak NG,graph_abbrev,10,1,1,error,"им. не раскрыто"
eSpeak NG,initial_abbrev,1,1,0,ok,
eSpeak NG,initial_abbrev,2,2,1,partial,"МГИМО прочитано побуквенно"
eSpeak NG,initial_abbrev,3,2,2,error,"БД и ЛВС не распознаны"
eSpeak NG,initial_abbrev,4,1,1,error,"НПО прочитано неестественно"
eSpeak NG,initial_abbrev,5,3,3,error,"СБИС, БМК и НПО прочитаны с ошибками"
eSpeak NG,initial_abbrev,6,1,1,error,"КПРФ прочитано неразборчиво"
eSpeak NG,initial_abbrev,7,3,3,error,"ЮКОСа и инициалы прочитаны с ошибками"
eSpeak NG,initial_abbrev,8,2,2,error,"МВД и Ф. прочитаны неверно"
eSpeak NG,initial_abbrev,9,2,2,error,"ЖК РСФСР не распознано"
eSpeak NG,initial_abbrev,10,1,1,error,"BMW прочитано не по-русски"
eSpeak NG,numbers,1,3,2,partial,"дата и телефон прочитаны неестественно"
eSpeak NG,numbers,2,4,3,partial,"ошибки в длинных числах"
eSpeak NG,numbers,3,3,2,partial,"миллионы и год прочитаны с ошибками"
eSpeak NG,numbers,4,1,1,error,"30-летие прочитано с неверным ударением"
eSpeak NG,numbers,5,2,2,error,"римская цифра и число прочитаны неверно"
eSpeak NG,numbers,6,1,1,error,"XVIII прочитано как буквы"
eSpeak NG,numbers,7,11,7,partial,"большинство дробей прочитано как символы"
eSpeak NG,numbers,8,1,1,error,"12-й прочитано как цифры и буква"
eSpeak NG,numbers,9,2,1,partial,"II прочитано как буквы"
eSpeak NG,numbers,10,2,2,error,"4,3-тонный и км/ч прочитаны неверно"
